,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
157,genhe,100,CN,1561588644,54,50.78,121.52,61.43,10.83
158,kokopo,100,PG,1561588645,55,-4.34,152.27,86.99,3.22
159,komsomolskiy,86,RU,1561588645,84,67.55,63.78,40.73,5.28
160,labuhan,8,ID,1561588645,77,-2.54,115.51,77.09,1.01
161,acapulco,20,MX,1561588623,70,16.86,-99.88,87.8,6.93
162,alofi,75,NU,1561588570,73,-19.06,-169.92,77.0,14.99
163,scottsbluff,1,US,1561588645,79,41.87,-103.67,91.4,16.11
164,coquimbo,0,CL,1561588645,76,-29.95,-71.34,62.01,9.17
165,katsuura,75,JP,1561588645,100,33.93,134.5,75.2,25.28
166,alamogordo,1,US,1561588408,13,32.9,-105.96,98.6,14.99
167,rabo de peixe,20,PT,1561588530,77,37.8,-25.58,64.4,11.41
168,sao filipe,0,CV,1561588646,85,14.9,-24.5,74.39,22.53
169,fukuma,75,JP,1561588646,88,33.77,130.47,75.99,12.75
170,cape coast,52,GH,1561588646,90,5.11,-1.24,76.19,9.15
171,beloha,0,MG,1561588646,84,-25.17,45.06,65.21,11.52
172,shingu,100,JP,1561588646,97,33.72,135.99,67.73,6.31
173,panama city,1,US,1561588502,59,30.16,-85.65,97.0,11.41
174,grand gaube,75,MU,1561588646,94,-20.01,57.66,73.4,13.87
175,san andres,100,PH,1561588647,87,13.32,122.68,80.15,6.2
176,novorozhdestvenskaya,9,RU,1561588647,55,45.87,39.95,68.09,8.95
177,jardim,41,BR,1561588647,86,-21.48,-56.15,57.29,0.74
178,mackay,90,CA,1561588647,67,53.65,-115.58,62.6,3.36
179,mosetse,9,BW,1561588647,71,-20.64,26.64,57.29,8.77
180,geraldton,75,CA,1561588648,41,49.72,-86.95,75.2,14.99
181,puerto carreno,20,CO,1561588648,59,6.19,-67.49,89.6,4.7
182,puerto baquerizo moreno,40,EC,1561588648,78,-0.9,-89.6,77.0,17.22
183,russell,1,US,1561588648,32,38.9,-98.86,95.0,16.11
184,laguna,75,BZ,1561588648,74,16.17,-88.94,86.0,9.17
185,berlevag,0,NO,1561588648,81,70.86,29.09,48.2,13.87
186,norman wells,40,CA,1561588649,41,65.28,-126.83,59.0,8.05
187,wyndham,90,GB,1561588649,87,51.61,-3.54,62.01,19.46
188,victoria,75,BN,1561588555,94,5.28,115.24,78.8,13.0
189,trat,100,TH,1561588649,75,12.25,102.51,82.99,9.44
190,ust-ilimsk,65,RU,1561588649,54,57.96,102.73,68.45,6.73
191,grand-santi,100,GF,1561588649,98,4.27,-54.38,72.23,1.83
192,baykit,83,RU,1561588424,51,61.68,96.39,71.33,2.71
193,atikokan,64,CA,1561588650,41,48.76,-91.62,75.83,9.91
194,presidente epitacio,100,BR,1561588447,96,-21.76,-52.12,64.13,3.69
195,port alfred,81,ZA,1561588650,87,-33.59,26.89,60.01,7.0
196,mahebourg,75,MU,1561588624,94,-20.41,57.7,73.4,13.87
197,port elizabeth,1,US,1561588650,45,39.31,-74.98,91.0,8.05
198,okha,97,RU,1561588650,91,53.59,142.95,43.43,17.11
199,bathsheba,20,BB,1561588650,74,13.22,-59.52,82.4,17.22
200,kiama,20,AU,1561588650,100,-34.67,150.86,61.0,5.82
201,cachoeira do sul,0,BR,1561588650,66,-30.05,-52.89,43.07,2.95
202,williams lake,75,CA,1561588651,82,52.13,-122.14,55.4,5.82
203,pasuruan,1,ID,1561588651,77,-7.64,112.91,73.85,1.05
204,avera,1,US,1561588651,51,33.19,-82.53,90.0,4.7
205,tiksi,3,RU,1561588651,39,71.64,128.87,68.09,10.6
206,codigoro,0,IT,1561588651,94,44.83,12.11,81.0,3.36
207,luneville,0,FR,1561588651,73,48.6,6.5,78.8,6.73
208,drezdenko,5,PL,1561588651,94,52.84,15.83,64.13,13.06
209,santa isabel do rio negro,18,BR,1561588651,98,-0.41,-65.02,74.93,3.15
210,lucea,20,JM,1561588652,70,18.44,-78.17,86.0,18.34
211,baymak,16,RU,1561588652,97,52.6,58.31,42.35,4.92
